source_file,domain,who,noise_type,noise_level,mean,std,count
equal_n_intermediate.csv,Tabular,RF_100k,asymmetric,0.0,0.852281,0.006032,5
equal_n_intermediate.csv,Tabular,RF_100k,asymmetric,0.1,0.833768,0.002999,5
equal_n_intermediate.csv,Tabular,RF_100k,asymmetric,0.2,0.779511,0.007415,5
equal_n_intermediate.csv,Tabular,RF_100k,asymmetric,0.3,0.674268,0.009536,5
equal_n_intermediate.csv,Tabular,RF_100k,asymmetric,0.4,0.542779,0.009042,5
equal_n_intermediate.csv,Tabular,RF_100k,pairflip,0.4,0.691972,0.004625,5
equal_n_intermediate.csv,Tabular,RF_100k,symmetric,0.0,0.852281,0.006032,5
equal_n_intermediate.csv,Tabular,RF_100k,symmetric,0.1,0.835264,0.003733,5
equal_n_intermediate.csv,Tabular,RF_100k,symmetric,0.2,0.793824,0.00418,5
equal_n_intermediate.csv,Tabular,RF_100k,symmetric,0.3,0.729124,0.006946,5
equal_n_intermediate.csv,Tabular,RF_100k,symmetric,0.4,0.649101,0.003321,5
equal_n_intermediate.csv,Tabular,Voting_100k,asymmetric,0.0,0.88614,0.007409,5
equal_n_intermediate.csv,Tabular,Voting_100k,asymmetric,0.1,0.850956,0.005318,5
equal_n_intermediate.csv,Tabular,Voting_100k,asymmetric,0.2,0.790713,0.006963,5
equal_n_intermediate.csv,Tabular,Voting_100k,asymmetric,0.3,0.684443,0.007916,5
equal_n_intermediate.csv,Tabular,Voting_100k,asymmetric,0.4,0.555006,0.00907,5
equal_n_intermediate.csv,Tabular,Voting_100k,pairflip,0.4,0.702199,0.003763,5
equal_n_intermediate.csv,Tabular,Voting_100k,symmetric,0.0,0.88614,0.007409,5
equal_n_intermediate.csv,Tabular,Voting_100k,symmetric,0.1,0.850977,0.004395,5
equal_n_intermediate.csv,Tabular,Voting_100k,symmetric,0.2,0.806988,0.003913,5
equal_n_intermediate.csv,Tabular,Voting_100k,symmetric,0.3,0.747878,0.007087,5
equal_n_intermediate.csv,Tabular,Voting_100k,symmetric,0.4,0.666788,0.004793,5
equal_n_intermediate.csv,Tabular,XGBoost_100k,asymmetric,0.0,0.887467,0.006434,5
equal_n_intermediate.csv,Tabular,XGBoost_100k,asymmetric,0.1,0.843353,0.006308,5
equal_n_intermediate.csv,Tabular,XGBoost_100k,asymmetric,0.2,0.776659,0.006948,5
equal_n_intermediate.csv,Tabular,XGBoost_100k,asymmetric,0.3,0.662922,0.008975,5
equal_n_intermediate.csv,Tabular,XGBoost_100k,asymmetric,0.4,0.53368,0.008797,5
equal_n_intermediate.csv,Tabular,XGBoost_100k,pairflip,0.4,0.687547,0.005167,5
equal_n_intermediate.csv,Tabular,XGBoost_100k,symmetric,0.0,0.887467,0.006434,5
equal_n_intermediate.csv,Tabular,XGBoost_100k,symmetric,0.1,0.848961,0.001827,5
